station,valid,sknt,p01m,gust,wxcodes
FIT,2016-04-08 00:30,11.00,0.00,M,M
FIT,2016-04-08 00:52,9.00,0.00,M,M
FIT,2016-04-08 01:36,8.00,0.00,M,M
FIT,2016-04-08 01:52,5.00,T,M,-RA
FIT,2016-04-08 02:06,5.00,T,M,M
FIT,2016-04-08 02:52,5.00,T,M,M
FIT,2016-04-08 03:52,10.00,0.00,M,M
FIT,2016-04-08 04:52,5.00,0.00,M,M
FIT,2016-04-08 05:52,4.00,0.00,M,M
FIT,2016-04-08 06:52,4.00,T,M,M
FIT,2016-04-08 07:15,3.00,0.00,M,M
FIT,2016-04-08 07:52,3.00,0.00,M,M
FIT,2016-04-08 08:03,3.00,0.00,M,M
FIT,2016-04-08 08:27,0.00,0.00,M,M
FIT,2016-04-08 08:42,0.00,0.00,M,BR
FIT,2016-04-08 08:52,0.00,0.00,M,BR
FIT,2016-04-08 08:59,0.00,0.00,M,BR
FIT,2016-04-08 09:07,0.00,0.00,M,BR
FIT,2016-04-08 09:52,8.00,0.00,16.00,M
FIT,2016-04-08 10:52,10.00,0.00,17.00,M
FIT,2016-04-08 11:15,11.00,T,22.00,-RA
FIT,2016-04-08 11:26,10.00,T,15.00,M
FIT,2016-04-08 11:52,9.00,T,M,M
FIT,2016-04-08 12:10,7.00,0.00,15.00,M
FIT,2016-04-08 12:19,10.00,0.00,M,M
FIT,2016-04-08 12:52,10.00,0.00,M,M
FIT,2016-04-08 13:52,10.00,0.00,M,M
FIT,2016-04-08 14:52,7.00,T,M,-RA
FIT,2016-04-08 15:52,11.00,T,17.00,M
FIT,2016-04-08 16:52,11.00,0.00,22.00,M
FIT,2016-04-08 17:12,12.00,0.00,M,M
FIT,2016-04-08 17:52,9.00,T,21.00,-RA
FIT,2016-04-08 18:40,13.00,T,M,M
FIT,2016-04-08 18:52,13.00,T,20.00,M
FIT,2016-04-08 19:52,15.00,0.00,20.00,M
FIT,2016-04-08 20:52,10.00,0.00,20.00,M
FIT,2016-04-08 21:52,11.00,0.00,18.00,M
FIT,2016-04-08 22:52,12.00,0.00,M,M
FIT,2016-04-08 23:52,7.00,0.00,M,M
FIT,2016-04-09 00:52,13.00,0.00,19.00,M
FIT,2016-04-09 01:52,5.00,0.00,23.00,M
FIT,2016-04-09 02:52,9.00,0.00,16.00,M
FIT,2016-04-09 03:52,12.00,0.00,17.00,M
FIT,2016-04-09 04:52,10.00,0.00,20.00,M
FIT,2016-04-09 05:52,4.00,0.00,M,M
FIT,2016-04-09 06:52,0.00,0.00,M,M
FIT,2016-04-09 07:52,0.00,0.00,M,M
FIT,2016-04-09 08:52,0.00,0.00,M,M
FIT,2016-04-09 09:52,0.00,0.00,M,M
FIT,2016-04-09 10:52,0.00,0.00,M,M
FIT,2016-04-09 11:52,3.00,0.00,M,M
FIT,2016-04-09 12:52,6.00,0.00,M,M
FIT,2016-04-09 13:52,4.00,0.00,M,M
FIT,2016-04-09 14:52,5.00,0.00,M,M
FIT,2016-04-09 15:52,5.00,0.00,M,M
FIT,2016-04-09 16:52,M,0.00,M,M
FIT,2016-04-09 17:52,3.00,0.00,M,M
FIT,2016-04-09 18:52,M,0.00,M,M
FIT,2016-04-09 19:52,4.00,0.00,M,M
FIT,2016-04-09 20:52,6.00,0.00,M,M
FIT,2016-04-09 21:52,9.00,0.00,M,M
FIT,2016-04-09 22:52,9.00,0.00,M,M
FIT,2016-04-09 23:52,13.00,0.00,19.00,M
FIT,2016-04-10 00:52,13.00,0.00,22.00,M
FIT,2016-04-10 01:52,10.00,0.00,18.00,M
FIT,2016-04-10 02:52,10.00,0.00,20.00,M
FIT,2016-04-10 03:52,11.00,0.00,16.00,M
FIT,2016-04-10 04:52,16.00,0.00,M,M
FIT,2016-04-10 05:52,10.00,0.00,18.00,M
FIT,2016-04-10 06:52,12.00,0.00,18.00,M
FIT,2016-04-10 07:52,9.00,0.00,M,M
FIT,2016-04-10 08:52,9.00,0.00,16.00,M
FIT,2016-04-10 09:52,9.00,0.00,M,M
FIT,2016-04-10 10:52,6.00,0.00,15.00,M
FIT,2016-04-10 11:52,10.00,0.00,16.00,M
FIT,2016-04-10 12:52,11.00,0.00,18.00,M
FIT,2016-04-10 13:52,14.00,0.00,M,M
FIT,2016-04-10 14:52,9.00,0.00,M,M
FIT,2016-04-10 15:52,8.00,0.00,21.00,M
FIT,2016-04-10 16:52,9.00,0.00,16.00,M
FIT,2016-04-10 17:52,7.00,0.00,M,M
FIT,2016-04-10 18:52,13.00,0.00,20.00,M
FIT,2016-04-10 19:52,11.00,0.00,20.00,M
FIT,2016-04-10 20:52,12.00,0.00,21.00,M
FIT,2016-04-10 21:52,8.00,0.00,M,M
FIT,2016-04-10 22:52,4.00,0.00,M,M
FIT,2016-04-10 23:52,3.00,0.00,M,M
FIT,2016-04-11 00:52,0.00,0.00,M,M
FIT,2016-04-11 01:52,0.00,0.00,M,M
FIT,2016-04-11 02:52,5.00,0.00,M,M
FIT,2016-04-11 03:52,4.00,0.00,M,M
FIT,2016-04-11 04:52,5.00,0.00,M,M
FIT,2016-04-11 05:52,3.00,0.00,M,M
FIT,2016-04-11 06:52,5.00,0.00,M,M
FIT,2016-04-11 07:52,8.00,0.00,M,M
FIT,2016-04-11 08:52,8.00,0.00,M,M
FIT,2016-04-11 09:52,8.00,T,M,-RA
FIT,2016-04-11 10:52,6.00,T,M,M
FIT,2016-04-11 11:52,7.00,T,M,-RA
FIT,2016-04-11 12:52,8.00,0.25,M,-RA
FIT,2016-04-11 13:52,11.00,0.25,16.00,-RA
FIT,2016-04-11 14:52,9.00,T,M,M
FIT,2016-04-11 15:52,10.00,0.00,M,M
FIT,2016-04-11 16:52,16.00,0.00,22.00,M
FIT,2016-04-11 17:52,13.00,0.00,23.00,M
FIT,2016-04-11 18:52,11.00,0.00,27.00,M
FIT,2016-04-11 19:52,18.00,0.00,29.00,M
FIT,2016-04-11 20:52,12.00,0.00,26.00,M
FIT,2016-04-11 21:52,10.00,0.00,23.00,M
FIT,2016-04-11 22:52,8.00,0.00,17.00,M
FIT,2016-04-11 23:52,7.00,T,M,-RA
FIT,2016-04-12 00:52,5.00,T,M,M
FIT,2016-04-12 01:52,5.00,T,M,-RA
FIT,2016-04-12 02:52,4.00,0.51,M,-RA
FIT,2016-04-12 03:52,4.00,T,M,M
FIT,2016-04-12 04:52,4.00,0.00,M,M
FIT,2016-04-12 05:52,0.00,0.00,M,M
FIT,2016-04-12 06:52,9.00,0.00,M,M
FIT,2016-04-12 07:52,8.00,0.00,M,M
FIT,2016-04-12 08:52,10.00,0.00,M,M
FIT,2016-04-12 09:52,6.00,0.00,M,M
FIT,2016-04-12 10:52,11.00,0.25,M,-RA
FIT,2016-04-12 11:52,8.00,T,M,M
FIT,2016-04-12 12:52,7.00,1.27,M,RA BR
FIT,2016-04-12 13:52,7.00,1.78,M,-RA BR
FIT,2016-04-12 14:07,7.00,0.25,M,-RA BR
FIT,2016-04-12 14:48,5.00,0.76,M,-RA BR
FIT,2016-04-12 14:52,5.00,1.02,M,-RA BR
FIT,2016-04-12 15:52,14.00,0.51,25.00,-RA
FIT,2016-04-12 16:52,11.00,T,20.00,M
FIT,2016-04-12 17:52,7.00,0.00,M,M
FIT,2016-04-12 18:52,9.00,T,M,M
FIT,2016-04-12 19:52,15.00,0.00,19.00,M
FIT,2016-04-12 20:52,16.00,0.00,21.00,M
FIT,2016-04-12 21:52,15.00,0.00,20.00,M
FIT,2016-04-12 22:52,12.00,0.00,21.00,M
FIT,2016-04-12 23:52,10.00,0.00,M,M
FIT,2016-04-13 00:52,7.00,0.00,M,M
