station,valid,sknt,p01m,gust,wxcodes
BED,2016-04-08 00:53,11.00,0.00,21.00,M
BED,2016-04-08 00:56,10.00,0.00,21.00,M
BED,2016-04-08 01:42,10.00,0.00,18.00,M
BED,2016-04-08 01:56,10.00,0.00,M,M
BED,2016-04-08 02:37,11.00,0.00,M,M
BED,2016-04-08 02:56,12.00,0.00,M,M
BED,2016-04-08 03:09,11.00,0.00,M,M
BED,2016-04-08 03:56,7.00,0.00,M,M
BED,2016-04-08 04:35,6.00,0.00,M,M
BED,2016-04-08 04:56,5.00,0.00,M,M
BED,2016-04-08 05:22,7.00,0.00,M,M
BED,2016-04-08 05:56,5.00,0.00,M,M
BED,2016-04-08 06:56,7.00,0.00,M,M
BED,2016-04-08 07:56,7.00,0.00,M,M
BED,2016-04-08 08:56,8.00,0.00,M,M
BED,2016-04-08 09:56,11.00,0.00,M,M
BED,2016-04-08 10:56,12.00,0.00,M,M
BED,2016-04-08 11:56,15.00,0.00,M,M
BED,2016-04-08 12:56,13.00,0.00,M,M
BED,2016-04-08 13:56,11.00,0.00,17.00,M
BED,2016-04-08 14:56,11.00,0.00,21.00,M
BED,2016-04-08 15:56,12.00,1.27,M,-RA
BED,2016-04-08 16:56,15.00,0.25,21.00,M
BED,2016-04-08 17:56,8.00,0.00,17.00,M
BED,2016-04-08 18:56,6.00,0.51,M,M
BED,2016-04-08 19:56,12.00,0.00,17.00,M
BED,2016-04-08 20:56,14.00,0.00,18.00,M
BED,2016-04-08 21:56,10.00,0.00,15.00,M
BED,2016-04-08 22:56,11.00,0.00,M,M
BED,2016-04-08 23:56,10.00,0.00,M,M
BED,2016-04-09 00:56,6.00,0.00,M,M
BED,2016-04-09 01:56,19.00,0.00,27.00,M
BED,2016-04-09 02:56,11.00,0.00,17.00,M
BED,2016-04-09 03:56,8.00,0.00,M,M
BED,2016-04-09 04:56,7.00,0.00,M,M
BED,2016-04-09 05:56,9.00,0.00,M,M
BED,2016-04-09 06:56,6.00,0.00,M,M
BED,2016-04-09 07:56,4.00,0.00,M,M
BED,2016-04-09 08:56,0.00,0.00,M,M
BED,2016-04-09 09:56,0.00,0.00,M,M
BED,2016-04-09 10:56,4.00,0.00,M,M
BED,2016-04-09 11:56,3.00,0.00,M,M
BED,2016-04-09 12:56,5.00,0.00,M,M
BED,2016-04-09 13:56,3.00,0.00,M,M
BED,2016-04-09 14:56,3.00,0.00,M,M
BED,2016-04-09 15:56,6.00,0.00,M,M
BED,2016-04-09 16:56,0.00,0.00,M,M
BED,2016-04-09 17:56,3.00,0.00,M,M
BED,2016-04-09 18:56,M,0.00,M,M
BED,2016-04-09 19:56,M,0.00,M,M
BED,2016-04-09 20:56,M,0.00,M,M
BED,2016-04-09 21:56,7.00,0.00,M,M
BED,2016-04-09 22:56,5.00,0.00,M,M
BED,2016-04-09 23:56,M,0.00,M,M
BED,2016-04-10 00:56,M,0.00,M,M
BED,2016-04-10 01:56,M,0.00,M,M
BED,2016-04-10 02:56,M,0.00,M,M
BED,2016-04-10 03:56,M,0.00,M,M
BED,2016-04-10 04:56,M,0.00,M,M
BED,2016-04-10 05:56,M,0.00,M,M
BED,2016-04-10 06:56,M,0.00,M,M
BED,2016-04-10 07:56,M,0.00,M,M
BED,2016-04-10 08:56,M,0.00,M,M
BED,2016-04-10 09:56,M,0.00,M,M
